CRASH DATE TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CONTRIBUTING CATEGORY V1,SEASON,TIME OF DAY,IS RUSH HOUR
2023-01-19 14:45:00,BROOKLYN,11222,40.728737,-73.950516,0,0,Following Too Closely,4599074,Van,Moving Violation,Winter,Afternoon,False
2023-01-19 15:20:00,QUEENS,11694,40.5815,-73.844154,1,0,Illness,4599589,Station Wagon/Sport Utility Vehicle,Bodily Impairment,Winter,Afternoon,False
2023-01-19 15:40:00,QUEENS,11102,40.774994,-73.93428,0,0,Failure to Yield Right-of-Way,4600482,Sedan,Moving Violation,Winter,Afternoon,False
2023-01-19 15:43:00,BROOKLYN,11223,40.58832,-73.970764,1,0,Driver Inattention/Distraction,4599562,Sedan,Driver Error,Winter,Afternoon,False
2023-01-19 15:45:00,QUEENS,11361,40.76879,-73.7747,3,0,Failure to Yield Right-of-Way,4599088,Sedan,Moving Violation,Winter,Afternoon,False
2023-01-19 15:55:00,QUEENS,11372,40.749355,-73.88803,0,0,Driver Inattention/Distraction,4600788,Sedan,Driver Error,Winter,Afternoon,False
2023-01-19 16:00:00,BROOKLYN,11249,40.70166,-73.961464,2,0,Failure to Yield Right-of-Way,4599813,Sedan,Moving Violation,Winter,Evening,True
2023-01-19 16:00:00,BROOKLYN,11215,40.6634,-73.97785,0,0,Driver Inattention/Distraction,4599731,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Evening,True
2023-01-19 16:30:00,BROOKLYN,11208,40.67898,-73.88107,0,0,Driver Inattention/Distraction,4599979,Sedan,Driver Error,Winter,Evening,True
2023-01-19 16:37:00,BROOKLYN,11212,40.659744,-73.91708,2,0,Following Too Closely,4603449,Sedan,Moving Violation,Winter,Evening,True
2023-01-19 16:50:00,QUEENS,11422,40.65219,-73.73114,1,0,Aggressive Driving/Road Rage,4599125,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Evening,True
2023-01-19 17:00:00,BROOKLYN,11219,40.62579,-73.9996,0,0,Driver Inattention/Distraction,4599102,Sedan,Driver Error,Winter,Evening,True
2023-01-19 17:00:00,BROOKLYN,11218,40.633385,-73.97552,2,0,Failure to Yield Right-of-Way,4599255,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Evening,True
2023-01-19 17:00:00,BROOKLYN,11233,40.671455,-73.91418,1,0,Failure to Yield Right-of-Way,4600085,Sedan,Moving Violation,Winter,Evening,True
2023-01-19 17:11:00,BROOKLYN,11223,40.60283,-73.98642,0,0,Driver Inexperience,4599315,Bus,Driver Error,Winter,Evening,True
2023-01-19 17:13:00,BROOKLYN,11214,40.601036,-73.99235,1,0,Driver Inattention/Distraction,4599210,Sedan,Driver Error,Winter,Evening,True
2023-01-19 17:15:00,QUEENS,11418,40.703224,-73.82055,1,0,Failure to Yield Right-of-Way,4599174,Sedan,Moving Violation,Winter,Evening,True
2023-01-19 17:27:00,QUEENS,11367,40.7433,-73.83769,0,0,Driver Inattention/Distraction,4599100,Sedan,Driver Error,Winter,Evening,True
2023-01-19 17:30:00,BROOKLYN,11203,40.65777,-73.93962,1,0,Passenger Distraction,4599112,Sedan,Other Distractions,Winter,Evening,True
2023-01-19 17:36:00,BROOKLYN,11226,40.647007,-73.96262,1,0,Driver Inattention/Distraction,4601720,Sedan,Driver Error,Winter,Evening,True
2023-01-19 17:45:00,BROOKLYN,11238,40.687416,-73.95972,1,0,Driver Inattention/Distraction,4599447,Sedan,Driver Error,Winter,Evening,True
2023-01-19 17:52:00,BROOKLYN,11226,40.653263,-73.96382,1,0,Driver Inattention/Distraction,4601692,Sedan,Driver Error,Winter,Evening,True
2023-01-19 18:00:00,QUEENS,11369,40.763344,-73.87731,1,0,Driver Inattention/Distraction,4599406,Station Wagon/Sport Utility Vehicle,Driver Error,Winter,Night,True
2023-01-19 18:00:00,BROOKLYN,11205,40.69045,-73.959435,1,0,View Obstructed/Limited,4599185,Taxi,Environmental Factors,Winter,Night,True
2023-01-19 18:04:00,BROOKLYN,11220,40.638622,-74.029564,0,0,Driver Inattention/Distraction,4599295,Sedan,Driver Error,Winter,Night,True
2023-01-19 18:07:00,BROOKLYN,11234,40.63183,-73.92249,2,0,Failure to Yield Right-of-Way,4599266,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,True
2023-01-19 18:10:00,QUEENS,11368,40.74869,-73.85772,2,0,Driver Inattention/Distraction,4606856,E-Bike,Driver Error,Winter,Night,True
2023-01-19 18:35:00,QUEENS,11434,40.68628,-73.77701,0,0,View Obstructed/Limited,4602379,Sedan,Environmental Factors,Winter,Night,True
2023-01-19 18:57:00,BROOKLYN,11229,40.611683,-73.94694,1,0,Failure to Yield Right-of-Way,4599087,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,True
2023-01-19 19:00:00,BROOKLYN,11221,40.686966,-73.91801,0,0,Passing or Lane Usage Improper,4601590,Sedan,Moving Violation,Winter,Night,True
2023-01-19 19:04:00,QUEENS,11361,40.75775,-73.78339,1,0,Failure to Yield Right-of-Way,4599131,Station Wagon/Sport Utility Vehicle,Moving Violation,Winter,Night,False
2023-01-19 19:05:00,QUEENS,11367,40.732037,-73.814926,1,0,Driver Inattention/Distraction,4599132,Sedan,Driver Error,Winter,Night,False
